node1	node2
TIGD1	BOK
ADRA2A	ANXA5
TMEM158	CDCA7
INPP5D	TMEM158
RTN4R	FNDC10
ZNF551	JUNB
SSR2	FNDC10
FNDC10	KATNBL1
NRARP	FUT1
TIGD1	EPHB3
HNF4G	TIGD1
FNDC10	SH2B2
TIGD1	GRHL2
POLD2	JUNB
KPNA1	FNDC10
HOXB8	ADRA2A
TIGD1	NDRG1
PPP1R15B	JUNB
EXTL1	FNDC10
NRARP	SPNS2
RPL7A	FNDC10
TIGD1	CDCA7
NR4A1	JUNB
POLD2	FNDC10
YDJC	FNDC10
TIGD1	EHD2
SSTR2	ADRA2A
TIGD1	SUSD4
FNDC10	HS6ST2
PPP2CB	FNDC10
TMEM158	PDK3
TIGD1	KRT19
FNDC10	EFR3A
ALG9	FNDC10
ARMC1	FNDC10
ADRA2A	EHD2
JUNB	ZNF155
ZNF385A	JUNB
SPRED2	JUNB
ICA1L	FNDC10
NDUFA10	FNDC10
EIF5AL1	RPL26L1
DOP1B	JUNB
KRT19	FNDC10
CD8A	TMEM158
FAM111B	TMEM158
TIGD1	SLC11A2
PCDH9	FNDC10
MYADM	JUNB
LRAT	TIGD1
FAM111B	FNDC10
ZMYND15	FNDC10
TIGD1	SHANK2
NRARP	DDIT4
CD36	FNDC10
EPAS1	ADRA2A
NCCRP1	FNDC10
DNAJC25	FNDC10
TMEM158	CDCA7
RPUSD1	FNDC10
BBX	EIF5AL1
EPAS1	TIGD1
HNF4G	EIF5AL1
ORC5	JUNB
ADRA2A	CDCA7
TIGD1	ZNF823
TCF19	FNDC10
MAGI2	FNDC10
HNF4G	TIGD1
UBAP2	ADRA2A
TMEM158	ANO2
TIGD1	CDCA7
TEDC2	FNDC10
TMEM158	SNX19
UTRN	FNDC10
HLX	JUNB
ADRA2A	FMOD
ELMOD3	ADRA2A
C2CD4B	JUNB
MKRN2	FNDC10
KCNJ12	JUNB
NMRAL1	FNDC10
JUNB	BAG3
PEG3	EIF5AL1
TIGD1	TRPS1
GRB7	FNDC10
TMEM158	LCMT1
ZNF774	TIGD1
ZNF774	ADRA2A
INTS6L	TIGD1
UBR3	FNDC10
NRARP	RGS1
RBP7	ADRA2A
ELMOD3	TMEM158
TIGD1	ZCCHC7
FNDC10	SLAIN2
DTNB	TIGD1
DTNB	TMEM158
RMI2	TMEM158
ABHD6	ADRA2A
VAMP3	FNDC10
REEP3	FNDC10
RHNO1	TIGD1
CD36	ADRA2A
POLR1B	JUNB
TIGD1	IQCA1
MRRF	TIGD1
ADRA2A	IQCA1
TIGD1	NAV1
FNDC10	SLC4A11
FAM71E1	FNDC10
FGF2	FNDC10
ADRA2A	SOX17
TMEM158	SLC4A11
EHF	TIGD1
STRADA	JUNB
FGF2	TMEM158
TIGD1	ELAPOR1
NRARP	RHOU
DDX19A	TIGD1
ANO6	FNDC10
RHNO1	FNDC10
GPIHBP1	ADRA2A
NIFK	TMEM158
NIFK	TIGD1
JAK2	FNDC10
SOCS3	JUNB
RUBCNL	TMEM158
ADRA2A	ADIPOR2
ESAM	ADRA2A
C2CD2	ADRA2A
DNAJB1	JUNB
C2CD2	TIGD1
TIGD1	TC2N
ADRA2A	RFC4
SH2D3A	FNDC10
DDOST	FNDC10
XRCC2	ADRA2A
EIF5AL1	PHF20
NRARP	CSTF3
JPT1	FNDC10
CEPT1	FNDC10
TMEM158	CEP104
SCX	JUNB
TIGD1	SH2D3A
TIGD1	SEPTIN3
DNM3	FNDC10
TIGD1	RFC4
EPHX3	TMEM158
PDE11A	FNDC10
TSNAX	FNDC10
KLF10	JUNB
TRAIP	FNDC10
JPT1	TMEM158
TIGD1	SPDL1
ADRA2A	LDB1
LAMA4	ADRA2A
BCL11A	ADRA2A
CDK5R1	TMEM158
TIGD1	RALGPS1
TIGD1	ZNF3
JUNB	LHX4
TIGD1	HIP1
SLC27A5	FNDC10
BCL11A	TIGD1
HIP1	FNDC10
LMCD1	ADRA2A
TMEM158	PDZK1
PARM1	ADRA2A
COL8A2	FNDC10
RNASE4	FNDC10
COG1	FNDC10
RNASE4	ADRA2A
RIPPLY3	FNDC10
RMI2	FNDC10
METTL1	FNDC10
EXTL1	TMEM158
STEAP4	ADRA2A
SWSAP1	FNDC10
ADRA2A	EEF1AKMT3
CES1	ADRA2A
CDC25C	FNDC10
EXTL1	FNDC10
TIGD1	TENT5C
CREBL2	FNDC10
RMI2	TMEM158
TIGD1	EEF1AKMT3
RGS16	JUNB
EIF5AL1	YIF1B
BCL11A	TMEM158
CEP95	TIGD1
GRK2	FNDC10
MAN1A1	FNDC10
ZNF132	JUNB
TIGD1	SLC11A2
EPHB3	FNDC10
ERCC6L	TIGD1
TIGD1	SIDT2
IL6	JUNB
EPHB3	ADRA2A
ATP1B1	TIGD1
TPD52L1	ADRA2A
STMN3	FNDC10
ALDH6A1	FNDC10
SIDT2	ADRA2A
NRARP	ZNF138
CD3D	TMEM158
TIGD1	ITGB8
TIGD1	EPHB3
TIGD1	TOB2
PPAT	ADRA2A
TIGD1	TPD52L1
SYNJ2BP	FNDC10
OTUB2	JUNB
EPHB3	TMEM158
FNDC10	NHLRC3
SCD5	TIGD1
NRARP	ADAMTS18
GLB1L2	ADRA2A
GPR146	FNDC10
